n_row,n_col,threads,average_time,speedup,total_runs
100,100,1,737.300000,1.000000,10
100,100,2,963.100000,0.765549,10
100,100,3,721.900000,1.021333,10
100,100,4,562.600000,1.310523,10
100,100,5,551.900000,1.335930,10
100,100,6,493.200000,1.494931,10
500,500,1,93259.700000,1.000000,10
500,500,2,57347.800000,1.626212,10
500,500,3,38509.900000,2.421707,10
500,500,4,27566.600000,3.383069,10
500,500,5,28163.300000,3.311391,10
500,500,6,27267.700000,3.420153,10
1000,1000,1,747563.300000,1.000000,10
1000,1000,2,391741.700000,1.908307,10
1000,1000,3,262507.100000,2.847783,10
1000,1000,4,203752.100000,3.668985,10
1000,1000,5,168671.700000,4.432061,10
1000,1000,6,144832.000000,5.161589,10
2000,2000,1,11218644.300000,1.000000,10
2000,2000,2,6215706.700000,1.804886,10
2000,2000,3,4370967.900000,2.566627,10
2000,2000,4,3388853.300000,3.310454,10
2000,2000,5,2853647.800000,3.931335,10
2000,2000,6,2577289.400000,4.352885,10
4000,4000,1,235455599.200000,1.000000,10
4000,4000,2,117326347.300000,2.006843,10
4000,4000,3,79728079.600000,2.953233,10
4000,4000,4,60465335.000000,3.894059,10
4000,4000,5,48697073.000000,4.835108,10
4000,4000,6,40945515.600000,5.750461,10
