n_row,n_col,threads,average_time,speedup,total_runs
100000,100000,1,4826505.500000,1.000000,10
100000,100000,2,2742217.300000,1.760074,10
100000,100000,3,2227278.900000,2.166996,10
100000,100000,4,1883184.100000,2.562949,10
100000,100000,5,1973474.300000,2.445690,10
100000,100000,6,1744722.700000,2.766345,10
