n_row,n_col,threads,average_time,speedup,total_runs
1000000,1000000,1,54005279.900000,1.000000,10
1000000,1000000,2,32500234.800000,1.661689,10
1000000,1000000,3,25523386.100000,2.115914,10
1000000,1000000,4,20380618.100000,2.649835,10
1000000,1000000,5,19489605.900000,2.770979,10
1000000,1000000,6,17382797.600000,3.106823,10
