n_row,n_col,threads,average_time,speedup,total_runs
100000,100000,1,2267273.800000,1.000000,10
100000,100000,2,1293115.200000,1.753342,10
100000,100000,3,1005869.200000,2.254044,10
100000,100000,4,849010.400000,2.670490,10
100000,100000,5,860554.000000,2.634668,10
100000,100000,6,857018.200000,2.645538,10
