n_row,n_col,threads,average_time,speedup,total_runs
1000000,1000000,1,146387045.100000,1.000000,10
1000000,1000000,2,65583596.400000,2.232068,10
1000000,1000000,3,51150858.600000,2.861869,10
1000000,1000000,4,42650999.300000,3.432207,10
1000000,1000000,5,40427949.900000,3.620937,10
1000000,1000000,6,37547456.000000,3.898721,10
